Customer ID,Age,Total Amount,Spending_Level
CUST191,64,25,Low
CUST230,54,25,Low
CUST232,43,25,Low
CUST363,64,25,Low
CUST454,46,25,Low
CUST512,57,25,Low
CUST791,51,25,Low
CUST825,46,25,Low
CUST855,54,25,Low
CUST967,62,25,Low
CUST006,45,30,Low
CUST057,63,30,Low
CUST344,42,30,Low
CUST376,64,30,Low
CUST387,44,30,Low
CUST396,55,30,Low
CUST749,42,30,Low
CUST793,54,30,Low
CUST802,46,30,Low
CUST874,60,30,Low
CUST974,47,30,Low
CUST025,64,50,Low
CUST040,45,50,Low
CUST102,47,50,Low
CUST120,60,50,Low
CUST189,63,50,Low
CUST207,42,50,Low
CUST349,57,50,Low
CUST450,59,50,Low
CUST460,40,50,Low
CUST473,64,50,Low
CUST493,41,50,Low
CUST525,47,50,Low
CUST712,57,50,Low
CUST811,61,50,Low
CUST846,42,50,Low
CUST902,54,50,Low
CUST963,55,50,Low
CUST399,64,60,Low
CUST448,54,60,Low
CUST499,46,60,Low
CUST565,45,60,Low
CUST573,49,60,Low
CUST581,48,60,Low
CUST701,52,60,Low
CUST834,56,60,Low
CUST871,62,60,Low
CUST069,56,75,Low
CUST374,59,75,Low
CUST413,44,75,Low
CUST622,49,75,Low
CUST718,59,75,Low
CUST872,63,75,Low
CUST190,60,90,Low
CUST218,64,90,Low
CUST229,58,90,Low
CUST383,46,90,Low
CUST535,47,90,Low
CUST829,61,90,Low
CUST953,45,90,Low
CUST982,46,90,Low
CUST997,52,90,Low
CUST071,51,100,Low
CUST098,55,100,Low
CUST176,43,100,Low
CUST177,45,100,Low
CUST192,62,100,Low
CUST225,57,100,Low
CUST338,54,100,Low
CUST414,48,100,Low
CUST492,61,100,Low
CUST500,60,100,Low
CUST511,45,100,Low
CUST549,50,100,Low
CUST715,42,100,Low
CUST745,54,100,Low
CUST778,47,100,Low
CUST809,62,100,Low
CUST924,55,100,Low
CUST932,45,100,Low
CUST972,49,100,Low
CUST182,62,120,Low
CUST271,62,120,Low
CUST335,47,120,Low
CUST536,55,120,Low
CUST796,43,120,Low
CUST336,52,150,Low
CUST554,46,150,Low
CUST822,52,150,Low
CUST912,51,150,Low
CUST075,61,200,Low
CUST251,57,200,Low
CUST354,49,200,Low
CUST494,42,200,Low
CUST639,62,200,Low
CUST723,54,200,Low
CUST833,42,200,Low
CUST903,51,200,Low
CUST936,57,200,Low
CUST961,53,200,Low
CUST378,50,300,Low
CUST794,60,300,Low
CUST905,58,300,Low
CUST947,50,300,Low
CUST021,50,500,Low
CUST028,43,500,Low
CUST220,64,500,Low
CUST408,64,500,Low
CUST541,56,500,Low
CUST937,62,500,Low
CUST233,51,600,Low
CUST302,57,600,Low
CUST508,58,600,Low
CUST543,49,600,Low
CUST976,48,600,Low
CUST035,58,900,Low
CUST036,52,900,Low
CUST183,43,900,Low
CUST198,54,900,Low
CUST457,58,900,Low
CUST708,43,900,Low
CUST727,55,900,Low
CUST788,52,900,Low
CUST827,61,900,Low
CUST094,47,1000,Low
CUST097,51,1000,Low
CUST137,46,1000,Low
CUST161,64,1000,Low
CUST237,50,1000,Low
CUST600,59,1000,Low
CUST621,40,1000,Low
CUST662,48,1000,Low
CUST816,47,1000,Low
CUST990,58,1000,Low
CUST994,51,1000,Low
CUST067,48,1200,High
CUST424,57,1200,High
CUST441,57,1200,High
CUST524,46,1200,High
CUST587,40,1200,High
CUST648,53,1200,High
CUST682,46,1200,High
CUST908,46,1200,High
CUST047,40,1500,High
CUST144,59,1500,High
CUST164,47,1500,High
CUST199,45,1500,High
CUST211,42,1500,High
CUST313,55,1500,High
