Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
191,2023-10-18,CUST191,Male,64,Beauty,1,25,25
204,2023-09-28,CUST204,Male,39,Beauty,1,25,25
230,2023-04-23,CUST230,Male,54,Beauty,1,25,25
232,2023-02-06,CUST232,Female,43,Beauty,1,25,25
309,2023-12-23,CUST309,Female,26,Beauty,1,25,25
310,2023-10-12,CUST310,Female,28,Beauty,1,25,25
363,2023-06-03,CUST363,Male,64,Beauty,1,25,25
371,2023-02-21,CUST371,Female,20,Beauty,1,25,25
397,2023-03-10,CUST397,Female,30,Beauty,1,25,25
454,2023-02-22,CUST454,Female,46,Beauty,1,25,25
512,2023-11-07,CUST512,Female,57,Beauty,1,25,25
739,2023-11-29,CUST739,Male,36,Beauty,1,25,25
791,2023-12-05,CUST791,Female,51,Beauty,1,25,25
825,2023-08-26,CUST825,Female,46,Beauty,1,25,25
855,2023-09-01,CUST855,Male,54,Beauty,1,25,25
945,2023-02-13,CUST945,Male,30,Beauty,1,25,25
967,2023-04-17,CUST967,Male,62,Beauty,1,25,25
979,2023-01-02,CUST979,Female,19,Beauty,1,25,25
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30
57,2023-11-18,CUST057,Female,63,Beauty,1,30,30
305,2023-05-16,CUST305,Female,18,Beauty,1,30,30
344,2023-01-21,CUST344,Female,42,Beauty,1,30,30
376,2023-05-16,CUST376,Female,64,Beauty,1,30,30
387,2023-06-04,CUST387,Male,44,Beauty,1,30,30
396,2023-02-23,CUST396,Female,55,Beauty,1,30,30
670,2023-10-05,CUST670,Male,27,Beauty,1,30,30
733,2023-08-29,CUST733,Male,34,Beauty,1,30,30
747,2023-11-15,CUST747,Male,23,Beauty,1,30,30
749,2023-05-03,CUST749,Male,42,Beauty,1,30,30
793,2023-02-05,CUST793,Male,54,Beauty,1,30,30
802,2023-07-05,CUST802,Female,46,Beauty,1,30,30
874,2023-06-26,CUST874,Male,60,Beauty,1,30,30
933,2023-02-03,CUST933,Male,22,Beauty,1,30,30
974,2023-05-03,CUST974,Male,47,Beauty,1,30,30
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50
40,2023-06-22,CUST040,Male,45,Beauty,1,50,50
102,2023-04-28,CUST102,Female,47,Beauty,2,25,50
120,2023-05-07,CUST120,Male,60,Beauty,1,50,50
172,2023-09-17,CUST172,Male,32,Beauty,2,25,50
189,2023-01-30,CUST189,Male,63,Beauty,1,50,50
207,2023-04-19,CUST207,Female,42,Beauty,2,25,50
273,2023-05-08,CUST273,Female,22,Beauty,1,50,50
349,2023-10-26,CUST349,Female,57,Beauty,1,50,50
391,2023-01-05,CUST391,Male,19,Beauty,2,25,50
450,2023-04-18,CUST450,Female,59,Beauty,2,25,50
460,2023-05-02,CUST460,Male,40,Beauty,1,50,50
473,2023-02-25,CUST473,Male,64,Beauty,1,50,50
493,2023-11-25,CUST493,Male,41,Beauty,2,25,50
505,2023-01-20,CUST505,Male,24,Beauty,1,50,50
525,2023-12-18,CUST525,Female,47,Beauty,2,25,50
542,2023-06-17,CUST542,Female,20,Beauty,1,50,50
618,2023-01-26,CUST618,Female,27,Beauty,1,50,50
712,2023-12-06,CUST712,Female,57,Beauty,2,25,50
792,2023-07-09,CUST792,Female,20,Beauty,1,50,50
811,2023-05-19,CUST811,Male,61,Beauty,2,25,50
846,2023-09-22,CUST846,Male,42,Beauty,1,50,50
902,2023-06-01,CUST902,Female,54,Beauty,1,50,50
919,2023-09-09,CUST919,Female,22,Beauty,2,25,50
935,2023-09-09,CUST935,Female,34,Beauty,1,50,50
963,2023-11-14,CUST963,Female,55,Beauty,1,50,50
214,2023-12-10,CUST214,Male,20,Beauty,2,30,60
260,2023-07-01,CUST260,Male,28,Beauty,2,30,60
263,2023-08-28,CUST263,Male,23,Beauty,2,30,60
399,2023-03-01,CUST399,Female,64,Beauty,2,30,60
448,2023-01-21,CUST448,Female,54,Beauty,2,30,60
495,2023-07-24,CUST495,Male,24,Beauty,2,30,60
499,2023-01-15,CUST499,Male,46,Beauty,2,30,60
565,2023-11-07,CUST565,Female,45,Beauty,2,30,60
573,2023-09-19,CUST573,Male,49,Beauty,2,30,60
581,2023-11-21,CUST581,Female,48,Beauty,2,30,60
701,2023-12-14,CUST701,Female,52,Beauty,2,30,60
834,2023-04-04,CUST834,Female,56,Beauty,2,30,60
871,2023-08-31,CUST871,Male,62,Beauty,2,30,60
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75
50,2023-08-24,CUST050,Female,27,Beauty,3,25,75
51,2023-10-02,CUST051,Male,27,Beauty,3,25,75
69,2023-04-30,CUST069,Female,56,Beauty,3,25,75
108,2023-04-19,CUST108,Female,27,Beauty,3,25,75
350,2023-10-17,CUST350,Male,25,Beauty,3,25,75
374,2023-04-20,CUST374,Female,59,Beauty,3,25,75
413,2023-09-08,CUST413,Female,44,Beauty,3,25,75
469,2023-05-08,CUST469,Male,18,Beauty,3,25,75
622,2023-08-22,CUST622,Female,49,Beauty,3,25,75
644,2023-09-06,CUST644,Male,23,Beauty,3,25,75
713,2023-01-14,CUST713,Male,34,Beauty,3,25,75
718,2023-08-25,CUST718,Female,59,Beauty,3,25,75
767,2023-10-24,CUST767,Male,39,Beauty,3,25,75
768,2023-01-14,CUST768,Female,24,Beauty,3,25,75
872,2023-10-11,CUST872,Female,63,Beauty,3,25,75
920,2023-02-22,CUST920,Female,28,Beauty,3,25,75
929,2023-01-27,CUST929,Female,23,Beauty,3,25,75
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90
86,2023-11-08,CUST086,Male,19,Beauty,3,30,90
190,2023-05-04,CUST190,Female,60,Beauty,3,30,90
218,2023-09-22,CUST218,Male,64,Beauty,3,30,90
229,2023-10-29,CUST229,Male,58,Beauty,3,30,90
267,2023-11-27,CUST267,Female,32,Beauty,3,30,90
383,2023-03-22,CUST383,Female,46,Beauty,3,30,90
535,2023-12-06,CUST535,Male,47,Beauty,3,30,90
557,2023-07-27,CUST557,Female,20,Beauty,3,30,90
656,2023-10-04,CUST656,Male,29,Beauty,3,30,90
679,2023-01-11,CUST679,Female,18,Beauty,3,30,90
829,2023-07-14,CUST829,Male,61,Beauty,3,30,90
837,2023-07-01,CUST837,Male,18,Beauty,3,30,90
915,2023-05-30,CUST915,Female,26,Beauty,3,30,90
953,2023-04-26,CUST953,Male,45,Beauty,3,30,90
982,2023-12-19,CUST982,Female,46,Beauty,3,30,90
997,2023-11-17,CUST997,Male,52,Beauty,3,30,90
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100
62,2023-12-27,CUST062,Male,18,Beauty,2,50,100
71,2023-07-14,CUST071,Female,51,Beauty,4,25,100
87,2023-11-22,CUST087,Female,28,Beauty,2,50,100
98,2023-04-23,CUST098,Female,55,Beauty,2,50,100
114,2023-07-22,CUST114,Female,22,Beauty,4,25,100
176,2023-07-11,CUST176,Female,43,Beauty,2,50,100
177,2023-03-24,CUST177,Male,45,Beauty,2,50,100
192,2023-02-10,CUST192,Male,62,Beauty,2,50,100
225,2023-01-11,CUST225,Female,57,Beauty,4,25,100
244,2023-12-09,CUST244,Male,28,Beauty,2,50,100
276,2023-10-02,CUST276,Female,21,Beauty,4,25,100
311,2023-12-05,CUST311,Female,32,Beauty,4,25,100
