Customer ID,Age,Age_Group
CUST191,64,Senior
CUST204,39,Adult
CUST230,54,Adult
CUST232,43,Adult
CUST309,26,Youth
CUST310,28,Youth
CUST363,64,Senior
CUST371,20,Youth
CUST397,30,Adult
CUST454,46,Adult
CUST512,57,Adult
CUST739,36,Adult
CUST791,51,Adult
CUST825,46,Adult
CUST855,54,Adult
CUST945,30,Adult
CUST967,62,Senior
CUST979,19,Youth
CUST006,45,Adult
CUST057,63,Senior
CUST305,18,Youth
CUST344,42,Adult
CUST376,64,Senior
CUST387,44,Adult
CUST396,55,Adult
CUST670,27,Youth
CUST733,34,Adult
CUST747,23,Youth
CUST749,42,Adult
CUST793,54,Adult
CUST802,46,Adult
CUST874,60,Senior
CUST933,22,Youth
CUST974,47,Adult
CUST025,64,Senior
CUST027,38,Adult
CUST040,45,Adult
CUST102,47,Adult
CUST120,60,Senior
CUST172,32,Adult
CUST189,63,Senior
CUST207,42,Adult
CUST273,22,Youth
CUST349,57,Adult
CUST391,19,Youth
CUST450,59,Adult
CUST460,40,Adult
CUST473,64,Senior
CUST493,41,Adult
CUST505,24,Youth
CUST525,47,Adult
CUST542,20,Youth
CUST618,27,Youth
CUST712,57,Adult
CUST792,20,Youth
CUST811,61,Senior
CUST846,42,Adult
CUST902,54,Adult
CUST919,22,Youth
CUST935,34,Adult
CUST963,55,Adult
CUST214,20,Youth
CUST260,28,Youth
CUST263,23,Youth
CUST399,64,Senior
CUST448,54,Adult
CUST495,24,Youth
CUST499,46,Adult
CUST565,45,Adult
CUST573,49,Adult
CUST581,48,Adult
CUST701,52,Adult
CUST834,56,Adult
CUST871,62,Senior
CUST012,35,Adult
CUST037,18,Youth
CUST050,27,Youth
CUST051,27,Youth
CUST069,56,Adult
CUST108,27,Youth
CUST350,25,Youth
CUST374,59,Adult
CUST413,44,Adult
CUST469,18,Youth
CUST622,49,Adult
CUST644,23,Youth
CUST713,34,Adult
CUST718,59,Adult
CUST767,39,Adult
CUST768,24,Youth
CUST872,63,Senior
CUST920,28,Youth
CUST929,23,Youth
CUST032,30,Adult
CUST086,19,Youth
CUST190,60,Senior
CUST218,64,Senior
CUST229,58,Adult
CUST267,32,Adult
CUST383,46,Adult
CUST535,47,Adult
CUST557,20,Youth
CUST656,29,Youth
CUST679,18,Youth
CUST829,61,Senior
CUST837,18,Youth
CUST915,26,Youth
CUST953,45,Adult
CUST982,46,Adult
CUST997,52,Adult
CUST005,30,Adult
CUST062,18,Youth
CUST071,51,Adult
CUST087,28,Youth
CUST098,55,Adult
CUST114,22,Youth
CUST176,43,Adult
CUST177,45,Adult
CUST192,62,Senior
CUST225,57,Adult
CUST244,28,Youth
CUST276,21,Youth
CUST311,32,Adult
CUST328,39,Adult
CUST338,54,Adult
CUST406,22,Youth
CUST414,48,Adult
CUST492,61,Senior
CUST500,60,Senior
CUST511,45,Adult
CUST516,30,Adult
CUST549,50,Adult
CUST599,28,Youth
CUST652,34,Adult
CUST672,34,Adult
CUST715,42,Adult
CUST745,54,Adult
CUST778,47,Adult
CUST809,62,Senior
CUST819,35,Adult
CUST924,55,Adult
CUST932,45,Adult
CUST951,33,Adult
CUST972,49,Adult
CUST998,23,Youth
CUST055,31,Adult
