Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500
128,2023-07-05,CUST128,Male,25,Beauty,1,500,500
220,2023-03-03,CUST220,Male,64,Beauty,1,500,500
238,2023-01-17,CUST238,Female,39,Beauty,1,500,500
364,2023-08-23,CUST364,Female,19,Beauty,1,500,500
408,2023-04-15,CUST408,Female,64,Beauty,1,500,500
537,2023-06-03,CUST537,Female,21,Beauty,1,500,500
539,2023-06-08,CUST539,Male,25,Beauty,1,500,500
541,2023-07-29,CUST541,Male,56,Beauty,1,500,500
760,2023-03-27,CUST760,Male,27,Beauty,1,500,500
781,2023-12-23,CUST781,Male,35,Beauty,1,500,500
934,2023-07-25,CUST934,Male,30,Beauty,1,500,500
937,2023-10-23,CUST937,Female,62,Beauty,1,500,500
129,2023-04-23,CUST129,Female,21,Beauty,2,300,600
131,2023-09-18,CUST131,Female,21,Beauty,2,300,600
221,2023-05-07,CUST221,Male,39,Beauty,2,300,600
233,2023-12-29,CUST233,Female,51,Beauty,2,300,600
290,2023-10-04,CUST290,Female,30,Beauty,2,300,600
302,2023-07-14,CUST302,Male,57,Beauty,2,300,600
373,2023-10-03,CUST373,Female,25,Beauty,2,300,600
508,2023-08-11,CUST508,Male,58,Beauty,2,300,600
543,2023-07-26,CUST543,Male,49,Beauty,2,300,600
610,2023-01-03,CUST610,Female,26,Beauty,2,300,600
976,2023-10-10,CUST976,Female,48,Beauty,2,300,600
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900
183,2023-09-08,CUST183,Female,43,Beauty,3,300,900
198,2023-03-07,CUST198,Female,54,Beauty,3,300,900
295,2023-07-28,CUST295,Female,27,Beauty,3,300,900
323,2023-01-26,CUST323,Female,29,Beauty,3,300,900
435,2023-12-20,CUST435,Female,30,Beauty,3,300,900
457,2023-07-28,CUST457,Female,58,Beauty,3,300,900
472,2023-12-26,CUST472,Female,38,Beauty,3,300,900
624,2023-08-26,CUST624,Female,34,Beauty,3,300,900
708,2023-01-14,CUST708,Female,43,Beauty,3,300,900
722,2023-07-14,CUST722,Male,20,Beauty,3,300,900
727,2023-06-22,CUST727,Male,55,Beauty,3,300,900
788,2023-06-27,CUST788,Female,52,Beauty,3,300,900
806,2023-03-20,CUST806,Female,35,Beauty,3,300,900
827,2023-11-09,CUST827,Male,61,Beauty,3,300,900
923,2023-05-26,CUST923,Male,32,Beauty,3,300,900
94,2023-05-19,CUST094,Female,47,Beauty,2,500,1000
97,2023-10-13,CUST097,Female,51,Beauty,2,500,1000
104,2023-06-11,CUST104,Female,34,Beauty,2,500,1000
137,2023-11-18,CUST137,Male,46,Beauty,2,500,1000
161,2023-03-22,CUST161,Male,64,Beauty,2,500,1000
237,2023-02-04,CUST237,Female,50,Beauty,2,500,1000
393,2023-10-11,CUST393,Female,22,Beauty,2,500,1000
461,2023-03-25,CUST461,Female,18,Beauty,2,500,1000
589,2023-04-12,CUST589,Female,36,Beauty,2,500,1000
600,2023-10-22,CUST600,Female,59,Beauty,2,500,1000
621,2023-03-04,CUST621,Female,40,Beauty,2,500,1000
660,2023-04-29,CUST660,Female,38,Beauty,2,500,1000
662,2023-12-22,CUST662,Male,48,Beauty,2,500,1000
683,2023-01-04,CUST683,Male,38,Beauty,2,500,1000
816,2023-08-12,CUST816,Male,47,Beauty,2,500,1000
850,2023-07-28,CUST850,Female,26,Beauty,2,500,1000
853,2023-05-04,CUST853,Male,21,Beauty,2,500,1000
880,2023-08-21,CUST880,Male,22,Beauty,2,500,1000
990,2023-05-25,CUST990,Female,58,Beauty,2,500,1000
994,2023-12-18,CUST994,Female,51,Beauty,2,500,1000
67,2023-05-29,CUST067,Female,48,Beauty,4,300,1200
292,2023-02-17,CUST292,Male,20,Beauty,4,300,1200
298,2023-04-20,CUST298,Male,27,Beauty,4,300,1200
308,2023-08-05,CUST308,Female,34,Beauty,4,300,1200
424,2023-11-23,CUST424,Male,57,Beauty,4,300,1200
441,2023-10-10,CUST441,Male,57,Beauty,4,300,1200
524,2023-10-03,CUST524,Male,46,Beauty,4,300,1200
587,2023-06-08,CUST587,Female,40,Beauty,4,300,1200
597,2023-08-22,CUST597,Male,22,Beauty,4,300,1200
614,2023-04-01,CUST614,Female,39,Beauty,4,300,1200
648,2023-08-14,CUST648,Male,53,Beauty,4,300,1200
669,2023-06-19,CUST669,Male,24,Beauty,4,300,1200
682,2023-09-02,CUST682,Male,46,Beauty,4,300,1200
908,2023-12-29,CUST908,Male,46,Beauty,4,300,1200
47,2023-11-06,CUST047,Female,40,Beauty,3,500,1500
144,2023-07-15,CUST144,Female,59,Beauty,3,500,1500
164,2023-05-15,CUST164,Female,47,Beauty,3,500,1500
169,2023-11-17,CUST169,Male,18,Beauty,3,500,1500
193,2023-02-13,CUST193,Male,35,Beauty,3,500,1500
199,2023-12-04,CUST199,Male,45,Beauty,3,500,1500
211,2024-01-01,CUST211,Male,42,Beauty,3,500,1500
213,2023-07-24,CUST213,Male,27,Beauty,3,500,1500
313,2023-03-21,CUST313,Female,55,Beauty,3,500,1500
372,2023-02-07,CUST372,Female,24,Beauty,3,500,1500
463,2023-07-31,CUST463,Female,54,Beauty,3,500,1500
506,2023-02-25,CUST506,Male,34,Beauty,3,500,1500
522,2023-01-01,CUST522,Male,46,Beauty,3,500,1500
611,2023-02-24,CUST611,Male,51,Beauty,3,500,1500
636,2023-03-23,CUST636,Female,21,Beauty,3,500,1500
677,2023-10-27,CUST677,Female,19,Beauty,3,500,1500
693,2023-04-23,CUST693,Male,41,Beauty,3,500,1500
720,2023-01-26,CUST720,Female,56,Beauty,3,500,1500
805,2023-12-29,CUST805,Female,30,Beauty,3,500,1500
843,2023-05-22,CUST843,Male,21,Beauty,3,500,1500
869,2023-10-25,CUST869,Male,37,Beauty,3,500,1500
74,2023-11-22,CUST074,Female,18,Beauty,4,500,2000
93,2023-07-14,CUST093,Female,35,Beauty,4,500,2000
139,2023-12-15,CUST139,Male,36,Beauty,4,500,2000
